"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","3. should show a validation error if fields are empty and not call the API","The Login Page Use Cases","Sat Nov 01 10:48:16 UTC 2025","passed","Sat Nov 01 10:48:16 UTC 2025","","","",""
"","1","show the value","Testing","Sat Nov 01 10:48:18 UTC 2025","passed","Sat Nov 01 10:48:18 UTC 2025","","","",""
"","32","5. should navigate to the /register page when the Register link is clicked","The Login Page Use Cases","Sat Nov 01 10:48:16 UTC 2025","passed","Sat Nov 01 10:48:16 UTC 2025","","","",""
"","243","2. should show an error message with incorrect credentials and stay on login page","The Login Page Use Cases","Sat Nov 01 10:48:16 UTC 2025","passed","Sat Nov 01 10:48:16 UTC 2025","","","",""
"","0","should show the output correctly","Dummy","Sat Nov 01 10:48:18 UTC 2025","passed","Sat Nov 01 10:48:18 UTC 2025","","","",""
"","188","should","Home Page","Sat Nov 01 10:48:15 UTC 2025","passed","Sat Nov 01 10:48:15 UTC 2025","","","",""
"","498","1. should let a user log in, save token/username, and navigate to the home page","The Login Page Use Cases","Sat Nov 01 10:48:15 UTC 2025","passed","Sat Nov 01 10:48:16 UTC 2025","","","",""
"","324","should show an error if the email is already registered","The Register Page","Sat Nov 01 10:48:16 UTC 2025","passed","Sat Nov 01 10:48:16 UTC 2025","","","",""
"","13","should find the title element and be in the document","Minimal UI Checks for CI","Sat Nov 01 10:48:17 UTC 2025","passed","Sat Nov 01 10:48:17 UTC 2025","","","",""
"","0","should handle negative numbers","Math utilities","Sat Nov 01 10:48:18 UTC 2025","passed","Sat Nov 01 10:48:18 UTC 2025","","","",""
"","65","renders the home page correctly","Home Page","Sat Nov 01 10:48:15 UTC 2025","passed","Sat Nov 01 10:48:15 UTC 2025","","","",""
"","255","6. should clear a previous error message on a successful subsequent login","The Login Page Use Cases","Sat Nov 01 10:48:16 UTC 2025","passed","Sat Nov 01 10:48:17 UTC 2025","","","",""
"","620","should let a user register and then show the login page","The Register Page","Sat Nov 01 10:48:15 UTC 2025","passed","Sat Nov 01 10:48:16 UTC 2025","","","",""
"","30","renders with correct text","Button Component","Sat Nov 01 10:48:17 UTC 2025","passed","Sat Nov 01 10:48:17 UTC 2025","","","",""
"","0","should multiply two numbers correctly","Math utilities","Sat Nov 01 10:48:18 UTC 2025","passed","Sat Nov 01 10:48:18 UTC 2025","","","",""
"","2","should add two numbers correctly","Math utilities","Sat Nov 01 10:48:18 UTC 2025","passed","Sat Nov 01 10:48:18 UTC 2025","","","",""
"","3","show the value","Testing","Sat Nov 01 09:58:15 UTC 2025","passed","Sat Nov 01 09:58:15 UTC 2025","","","",""
"","213","4. should display ""An unexpected error occurred"" for a network failure","The Login Page Use Cases","Sat Nov 01 10:48:16 UTC 2025","passed","Sat Nov 01 10:48:16 UTC 2025","","","",""
"","10","calls onClick handler when clicked","Button Component","Sat Nov 01 10:48:17 UTC 2025","passed","Sat Nov 01 10:48:17 UTC 2025","","","",""
"","1","should find the status message element","Minimal UI Checks for CI","Sat Nov 01 10:48:17 UTC 2025","passed","Sat Nov 01 10:48:17 UTC 2025","","","",""
