"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should handle negative numbers","Math utilities","Sat Oct 25 13:09:07 UTC 2025","passed","Sat Oct 25 13:09:07 UTC 2025","","","",""
"","217","6. should clear a previous error message on a successful subsequent login","The Login Page Use Cases","Sat Oct 25 13:09:05 UTC 2025","passed","Sat Oct 25 13:09:06 UTC 2025","","","",""
"","468","should let a user register and then show the login page","The Register Page","Sat Oct 25 13:09:05 UTC 2025","passed","Sat Oct 25 13:09:05 UTC 2025","","","",""
"","2","should add two numbers correctly","Math utilities","Sat Oct 25 13:09:07 UTC 2025","passed","Sat Oct 25 13:09:07 UTC 2025","","","",""
"","36","renders with correct text","Button Component","Sat Oct 25 13:09:06 UTC 2025","passed","Sat Oct 25 13:09:06 UTC 2025","","","",""
"","332","should show an error if the email is already registered","The Register Page","Sat Oct 25 13:09:05 UTC 2025","passed","Sat Oct 25 13:09:05 UTC 2025","","","",""
"","41","5. should navigate to the /register page when the Register link is clicked","The Login Page Use Cases","Sat Oct 25 13:09:05 UTC 2025","passed","Sat Oct 25 13:09:05 UTC 2025","","","",""
"","24","3. should show a validation error if fields are empty and not call the API","The Login Page Use Cases","Sat Oct 25 13:09:05 UTC 2025","passed","Sat Oct 25 13:09:05 UTC 2025","","","",""
"","2","show the value","Testing","Sat Oct 25 13:09:07 UTC 2025","passed","Sat Oct 25 13:09:07 UTC 2025","","","",""
"","2","show the value","Testing","Fri Oct 24 16:34:50 UTC 2025","passed","Fri Oct 24 16:34:50 UTC 2025","","","",""
"","358","1. should let a user log in, save token/username, and navigate to the home page","The Login Page Use Cases","Sat Oct 25 13:09:05 UTC 2025","passed","Sat Oct 25 13:09:05 UTC 2025","","","",""
"","1","should find the status message element","Minimal UI Checks for CI","Sat Oct 25 13:09:06 UTC 2025","passed","Sat Oct 25 13:09:06 UTC 2025","","","",""
"","0","should multiply two numbers correctly","Math utilities","Sat Oct 25 13:09:07 UTC 2025","passed","Sat Oct 25 13:09:07 UTC 2025","","","",""
"","1","should show the output correctly","Dummy","Sat Oct 25 13:09:07 UTC 2025","passed","Sat Oct 25 13:09:07 UTC 2025","","","",""
"","241","4. should display ""An unexpected error occurred"" for a network failure","The Login Page Use Cases","Sat Oct 25 13:09:05 UTC 2025","passed","Sat Oct 25 13:09:05 UTC 2025","","","",""
"","163","should","Home Page","Sat Oct 25 13:09:04 UTC 2025","passed","Sat Oct 25 13:09:05 UTC 2025","","","",""
"","59","renders the home page correctly","Home Page","Sat Oct 25 13:09:04 UTC 2025","passed","Sat Oct 25 13:09:04 UTC 2025","","","",""
"","281","2. should show an error message with incorrect credentials and stay on login page","The Login Page Use Cases","Sat Oct 25 13:09:05 UTC 2025","passed","Sat Oct 25 13:09:05 UTC 2025","","","",""
"","9","calls onClick handler when clicked","Button Component","Sat Oct 25 13:09:06 UTC 2025","passed","Sat Oct 25 13:09:06 UTC 2025","","","",""
"","12","should find the title element and be in the document","Minimal UI Checks for CI","Sat Oct 25 13:09:06 UTC 2025","passed","Sat Oct 25 13:09:06 UTC 2025","","","",""
