"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","242","should show an error if the email is already registered","The Register Page","Sat Nov 01 15:28:15 IST 2025","passed","Sat Nov 01 15:28:15 IST 2025","","","",""
"","43","should find the title element and be in the document","Minimal UI Checks for CI","Sat Nov 01 15:28:14 IST 2025","passed","Sat Nov 01 15:28:14 IST 2025","","","",""
"","34","calls onClick handler when clicked","Button Component","Sat Nov 01 15:28:14 IST 2025","passed","Sat Nov 01 15:28:14 IST 2025","","","",""
"","2","should add two numbers correctly","Math utilities","Sat Nov 01 15:28:14 IST 2025","passed","Sat Nov 01 15:28:14 IST 2025","","","",""
"","376","1. should let a user log in, save token/username, and navigate to the home page","The Login Page Use Cases","Sat Nov 01 15:28:15 IST 2025","passed","Sat Nov 01 15:28:15 IST 2025","","","",""
"","3","show the value","Testing","Sat Nov 01 15:28:15 IST 2025","passed","Sat Nov 01 15:28:15 IST 2025","","","",""
"","159","2. should show an error message with incorrect credentials and stay on login page","The Login Page Use Cases","Sat Nov 01 15:28:15 IST 2025","passed","Sat Nov 01 15:28:15 IST 2025","","","",""
"","407","should let a user register and then show the login page","The Register Page","Sat Nov 01 15:28:15 IST 2025","passed","Sat Nov 01 15:28:15 IST 2025","","","",""
"","22","3. should show a validation error if fields are empty and not call the API","The Login Page Use Cases","Sat Nov 01 15:28:15 IST 2025","passed","Sat Nov 01 15:28:15 IST 2025","","","",""
"","1","should handle negative numbers","Math utilities","Sat Nov 01 15:28:14 IST 2025","passed","Sat Nov 01 15:28:14 IST 2025","","","",""
"","0","should show the output correctly","Dummy","Sat Nov 01 15:28:14 IST 2025","passed","Sat Nov 01 15:28:14 IST 2025","","","",""
"","27","5. should navigate to the /register page when the Register link is clicked","The Login Page Use Cases","Sat Nov 01 15:28:15 IST 2025","passed","Sat Nov 01 15:28:15 IST 2025","","","",""
"","141","renders with correct text","Button Component","Sat Nov 01 15:28:14 IST 2025","passed","Sat Nov 01 15:28:14 IST 2025","","","",""
"","137","4. should display ""An unexpected error occurred"" for a network failure","The Login Page Use Cases","Sat Nov 01 15:28:15 IST 2025","passed","Sat Nov 01 15:28:15 IST 2025","","","",""
"","51","renders the home page correctly","Home Page","Sat Nov 01 15:28:15 IST 2025","passed","Sat Nov 01 15:28:15 IST 2025","","","",""
"","135","should","Home Page","Sat Nov 01 15:28:15 IST 2025","passed","Sat Nov 01 15:28:15 IST 2025","","","",""
"","1","should multiply two numbers correctly","Math utilities","Sat Nov 01 15:28:14 IST 2025","passed","Sat Nov 01 15:28:14 IST 2025","","","",""
"","185","6. should clear a previous error message on a successful subsequent login","The Login Page Use Cases","Sat Nov 01 15:28:15 IST 2025","passed","Sat Nov 01 15:28:16 IST 2025","","","",""
"","0","should find the status message element","Minimal UI Checks for CI","Sat Nov 01 15:28:14 IST 2025","passed","Sat Nov 01 15:28:14 IST 2025","","","",""
